Country,Continent,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
Afghanistan,Asia,41,42,42,41,43,39,37,41,45,50
Albania,Europe,0.2,0.2,0.2,0.2,0.2,0.7,0.3,0.3,0.3,1
Algeria,Africa,7.4,8,8,8.5,8.6,8.8,8.3,8.3,8.2,8.3
Angola,Africa,43,51,55,58,61,54,56,39,56,51
Antigua and Barbuda,North America,1.4,1.4,1.4,1.5,1.5,1.5,1.4,1.4,1.4,1.4
Argentina,South America,1.6,1.5,1.7,1.4,1.7,1.6,1.9,1.9,2,2
Armenia,Asia,4.7,6,5.3,7.1,7.3,8.6,8.7,8.7,8.5,8.2
Australia,Oceania,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Austria,Europe,0.8,0.5,0.7,0.5,0.6,0.6,0.6,0.7,0.7,0.6
Azerbaijan,Asia,0.6,0.7,0.4,1.2,1.3,2.4,3.9,7.4,11,14
Bahamas,North America,0.3,0.3,1.4,0.6,0.6,1.2,0.9,0.6,1.2,2.1
Bahrain,Asia,0.5,0.4,0.2,0.8,0.7,0.7,0.9,0.5,1.1,1.2
Bangladesh,Asia,49,53,56,56,54,56,56,56,62,69
Barbados,North America,0.3,0.4,0.4,0.4,0.4,0.4,1.1,0.8,0.8,0.8
Belarus,Europe,6.8,7.9,8.9,9.2,9.1,10,11,11,11,11
Belgium,Europe,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.6,0.9,0.7
Belize,North America,4.4,2.1,3.7,4.1,4.2,5.1,2.7,5.6,2.1,3
Benin,Africa,10,10,9.8,11,11,11,11,12,13,14
Bhutan,Asia,18,19,21,23,20,18,19,18,20,21
Bolivia,South America,3.2,3.4,3.4,3.7,3.6,3.7,4.2,4.1,3.8,4
Bosnia and Herzegovina,Europe,4.1,4.6,5,6.1,4.7,5.6,2.7,6.5,5.3,4.7
Botswana,,21,25,30,30,25,25,34,33,29,33
Brazil,,2.8,2.7,2.8,2.9,3,3.2,3.2,3.3,3.4,3.9
Brunei Darussalam,,5.4,4.1,1.8,3.7,3.3,2.5,2.6,2.8,3.4,3.5
Bulgaria,,2.1,2.4,2.4,2.8,2.7,3.2,3.7,3.6,3.7,3.7
Burkina Faso,,9.3,9.6,9.5,10,11,11,11,11,11,12
Burundi,,23,24,25,23,25,28,32,34,35,38
Cote d'Ivoire,,21,23,27,29,31,31,36,43,48,52
Cabo Verde,,5.2,3.8,5.4,5.8,6.3,6.4,7.5,7.9,7.7,7.7
Cambodia,,61,64,68,72,77,83,92,101,111,122
Cameroon,,34,36,38,42,43,43,45,48,51,57
Canada,,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3
Central African Republic,,43,48,62,61,58,73,81,91,111,117
Chad,,21,21,20,22,23,25,27,26,24,27
Chile,,2.7,2.8,2.7,3.2,2.9,2.9,3.5,3.7,3.8,4.4
China,,3,3.3,3.5,3.8,4.2,4.5,4.9,5.3,5.7,6.2
Colombia,,2.1,2.1,2,2.2,2.5,2.7,2.8,2.6,2.6,3.3
Comoros,,8,7.9,8.1,7.3,6.9,6.6,7.3,8.1,8.3,9.7
Congo,,42,37,37,41,43,49,48,51,40,38
Costa Rica,,0.9,1.2,1.4,1.1,1.1,1.5,1,1.5,1.6,1.9
Croatia,,1.3,1.4,1.5,1.9,2.8,2.4,2.3,3.3,2.7,3.8
Cuba,,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4
Cyprus,,0.1,0.4,0.3,0.1,0.1,0.2,0.1,0.2,0.5,0.4
Czech Republic,,0.6,0.3,0.5,0.4,0.5,0.5,0.7,0.6,0.7,0.7
Democratic Republic of Congo,,65,64,62,57,56,57,57,57,54,53
Denmark,,0.4,0.4,0.3,0.7,0.5,0.3,0.5,0.4,0.5,0.7
Djibouti,,45,50,53,61,57,56,47,45,47,45
Dominica,,4.3,5.8,4.3,4.3,4.3,5.8,5.8,1.4,1.4,1.5
Dominican Republic,,4.8,6,5.9,6.4,4.9,2.9,3.1,3.6,6.5,9.1
Ecuador,,3.5,3.8,4.4,5,5,5.9,6.5,7.2,7.8,8.9
Egypt,,0.3,0.7,0.8,0.7,0.8,1,1,1,1.1,1.2
El Salvador,,1.8,1.6,1.3,1.8,1.4,1.6,2,1.2,1.9,2.2
Equatorial Guinea,,7.7,7.5,7.5,7.5,11,8.2,8,8.1,8.4,8.9
Estonia,,1.9,2.7,3.5,3.1,3.7,4.2,4.9,5.1,3.9,7.6
Ethiopia,,36,34,34,38,44,50,58,64,66,70
Fiji,,5,4.2,3.7,3,2.3,3.1,4.7,3.2,3.7,4.1
Finland,,0.6,0.9,1.1,0.9,1,1.1,1.1,1.1,1.5,1.3
France,,0.9,0.9,1,1,1.1,1.1,1.2,1.3,1.5,1.5
Gabon,,50,55,67,80,95,70,88,106,119,118
Gambia,,21,20,19,25,22,21,26,28,22,18
Georgia,,5.2,6.6,6.4,5.5,4.7,4.3,3.9,4.1,3.8,6.9
Germany,,0.5,0.5,0.4,0.5,0.4,0.5,0.6,0.6,0.6,0.6
Ghana,,37,39,39,41,45,49,52,53,54,55
Greece,,1,1,0.7,0.7,0.8,0.8,0.9,0.8,0.9,0.7
Grenada,,1,1,1,1,2,1,1,1,2,2.1
Guatemala,,2.2,1.8,2.2,2.6,3.1,2.8,2.6,2.9,3.1,3.3
Guinea,,29,29,29,30,42,38,41,44,51,50
Guinea-Bissau,,70,72,66,62,61,61,60,60,65,62
Guyana,,16,17,17,20,11,15,15,17,17,27
Haiti,,19,22,28,33,33,36,39,41,40,40
Honduras,,1.1,1.2,1.2,1.1,1.4,1.5,3.4,3.3,4,4.6
Hungary,,1,1.3,1.3,1.5,1.7,1.9,2.2,1.9,2.5,3
Iceland,,3.3,3,2.4,6.6,2.6,0.7,1.6,0.7,1,1.4
India,,38,38,39,40,42,44,46,48,50,52
Indonesia,,42,42,43,44,45,46,47,48,49,50
Iran (Islamic Republic of),,1.9,1.9,2,1.9,1.8,1.8,1.7,1.8,1.8,2
Iraq,,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.1,3.2,3.3
Ireland,,0.5,0.6,0.6,0.8,0.8,0.7,1.2,1,0.6,1
Israel,,0.2,0.3,0.3,0.4,0.3,0.4,0.6,0.5,0.7,0.7
Italy,,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.8,0.8
Jamaica,,0.2,0.2,0.3,0.4,0.5,0.4,0.4,0.4,0.7,0.6
Japan,,2.7,2.8,2.9,3,3,3.1,3.2,3.3,3.4,3.5
Jordan,,0.3,0.3,0.3,0.5,0.5,0.7,0.7,0.8,0.8,0.7
Kazakhstan,,9.5,11,11,13,15,19,21,23,27,26
Kenya,,18,18,17,18,17,20,18,16,18,17
Kiribati,,23,20,20,17,9.6,21,21,24,22,21
Kuwait,,0.2,0.8,0.6,1.3,1.2,1,1.3,1.1,1.3,1.4
Kyrgyzstan,,11,11,12,11,12,12,14,17,16,21
Lao People's Democratic Republic,,57,60,61,66,70,73,77,81,87,96
Latvia,,5.2,3.1,3.9,4.3,5.3,5.8,7.1,8.9,8.7,8.6
Lebanon,,1.2,0.6,0.8,1.1,1,1.1,1,0.8,0.9,0.9
Liberia,,54,47,46,55,59,66,65,63,72,57
Lithuania,,7.2,8.6,7.1,7.2,8.5,11,11,11,11,9.2
Luxembourg,,0.2,0.2,0.4,0.2,0.4,0.4,0.4,0.2,0.2,0.7
Madagascar,,51,52,51,54,57,58,59,59,65,64
Malawi,,18,19,16,14,18,23,24,21,21,21
Malaysia,,8,7.5,6.9,6.4,6,6,6.2,6.4,6,6.4
Maldives,,4.1,4.1,3.3,2.8,2.7,2.6,2.2,2.1,2,1
Mali,,11,12,11,11,7.9,9.3,11,12,13,13
Malta,,0.7,0.2,0.7,0.5,0.3,0.3,1.5,0.3,0.3,0.5
Marshall Islands,,39,38,36,50,37,33,42,37,29,31
Mauritania,,23,21,31,27,27,29,29,34,43,34
Mauritius,,1.4,1.3,1.5,1,1.3,1.2,1.2,0.7,1.2,1.3
Mexico,,2,2,2.2,2.2,2.2,2.4,2.3,2.5,2.7,2.7
Micronesia (Federated States of),,22,19,20,22,20,22,18,14,13,15
Mongolia,,21,20,21,23,23,23,25,27,25,25
Morocco,,8.7,8.4,8.1,10,10,10,12,11,11,12
Mozambique,,71,68,65,61,57,66,84,85,86,88
Myanmar,,53,49,53,57,60,64,61,67,78,86
Namibia,,31,32,32,32,32,36,38,40,41,42
Nepal,,19,17,17,17,17,19,19,19,17,18
Netherlands,,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.5,0.5,0.5
New Zealand,,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.7
Nicaragua,,2.9,3.5,3.8,4.9,3.6,3.6,4.4,4.6,5.8,5.8
Niger,,18,19,20,21,22,25,26,30,33,38
Nigeria,,97,94,93,93,91,90,90,92,93,93
Norway,,0.4,0.4,0.6,0.6,0.6,0.6,0.8,0.9,1,1
Oman,,0.6,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.7,0.8
Pakistan,,27,28,30,33,38,44,51,59,64,69
Palau,,3.6,1.8,5.5,8.7,8.8,6.7,5.2,5.7,4.7,2.4
Panama,,6.1,5.8,5,5.8,7.1,6.1,5.5,5.5,6.9,6.1
Papua New Guinea,,53,61,86,86,96,85,78,89,87,84
Paraguay,,4,3.8,4.4,4.6,3.6,4.3,3.8,4.5,5.1,5
Peru,,6.3,7.1,7.3,8.2,5.8,5.3,8.1,8.6,9.8,10
Philippines,,21,23,26,27,29,31,28,31,33,35
Poland,,1.5,1.8,1.8,1.6,2.1,2.3,2.2,2.1,2.3,2.4
Portugal,,2.2,2.2,2.2,2.1,2.6,2.5,2.8,3,3.2,3.5
Qatar,,0.3,0.4,0.3,0.1,0.2,1.3,0.1,0.3,0.3,0.2
South Korea,,5.5,6.1,6,6.1,6,6.1,6.3,7.3,7.6,7.6
Moldova,,8.7,12,13,14,15,15,17,17,18,17
Romania,,5.8,6.3,6.5,7.4,7.5,7.9,7.7,8.1,8.4,9.7
Russian Federation,,12,13,15,16,18,19,19,21,24,22
Rwanda,,6.7,7.4,7.3,8.1,6.8,6.3,5.7,4.6,6.2,7.6
Saint Kitts and Nevis,,0,2.4,2.4,2.5,2,2.1,2.2,4.2,2.2,2.1
Saint Lucia,,2.1,0.7,0.7,0.7,0.6,1.9,2,2,3.9,4
Saint Vincent and the Grenadines,,0.9,3.8,4.8,5.7,1,0.9,2.8,2.8,0.9,5.9
Samoa,,1.1,1.1,1,0.7,0.8,0.6,0.9,1.3,1.3,1.8
Sao Tome and Principe,,5.9,12,8.3,11,21,23,19,4.7,9.1,13
Saudi Arabia,,2.2,2.5,2.8,3,3.3,3.3,3.4,3.3,3.2,3
Senegal,,20,21,23,22,21,21,22,23,24,26
Seychelles,,2.1,0,1.1,0,2.3,2.3,1.2,1.2,2.5,0
Sierra Leone,,50,43,45,43,49,52,60,67,74,80
Singapore,,1.2,1.5,1.7,2,1.7,2.1,2.2,1.7,1.8,2.2
Slovakia,,0.4,0.3,0.5,0.7,0.8,0.8,0.7,0.9,0.9,1
Slovenia,,0.8,0.8,1.1,1,1.2,1.7,1.5,0.9,0.9,0.6
Solomon Islands,,8.8,9,10,8.8,9.8,11,11,11,12,10
South Africa,,49,50,52,54,56,57,58,58,57,56
Spain,,0.6,0.7,0.6,0.9,0.9,0.8,0.9,0.9,1.1,1.1
Sri Lanka,,5.8,5.9,4.7,5,5.3,5.4,5.9,6,7.2,8.4
Sudan,,22,23,23,22,23,25,20,21,22,23
Suriname,,2.8,2.5,2.5,3.2,2.9,3,1.7,1.5,1.8,1.3
Swaziland,,46,55,50,37,37,46,51,48,47,46
Sweden,,0.5,0.4,0.5,0.4,0.7,0.7,0.7,0.7,0.7,0.6
Switzerland,,0.2,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.4,0.4
Tajikistan,,4.2,3.7,3.9,5,5.9,8.4,10,13,14,15
Tanzania,,59,68,76,75,76,79,84,85,83,21
Thailand,,12,12,11,11,11,12,12,17,18,3
The former Yugoslav republic of Macedonia,,1.4,1.5,1.5,1.7,0.9,2.4,2.9,3.1,3.3,60
Timor-Leste,,80,75,51,42,32,86,86,72,62,7.8
Togo,,10,9.9,10,11,11,9.4,11,8,8,1.1
Tonga,,0.9,1,0.8,1,0.7,1.2,2.1,1.7,1.7,1.8
Trinidad and Tobago,,1.8,1.9,1.5,1.5,1.9,1.9,1.7,3.4,1.6,2.6
Tunisia,,1.9,2.1,2.3,2.5,2.7,2.9,2.9,2.8,2.7,1.1
Turkey,,1,1.1,1.3,1,1.2,1.2,1.1,1,1.5,40
Turkmenistan,,8.6,9.5,14,15,19,20,27,33,37,19
Uganda,,11,13,14,18,20,20,24,27,30,24
Ukraine,,14,16,16,17,19,23,24,23,26,0.9
United Arab Emirates,,0.5,0.5,0.5,0.5,0.6,0.7,0.6,1,0.6,0.8
United Kingdom of Great Britain and Northern Ireland,,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.8,80
United States of America,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3
Uruguay,,2,1.4,1.4,1.4,2,1.4,2.4,1.3,1.9,2.6
Uzbekistan,,5.9,13,13,13,11,15,13,10,14,15
Vanuatu,,7.4,7.6,11,10,7.7,14,11,10,21,14
Venezuela (Bolivarian Republic of),,2.2,2.2,2,2.4,2.1,2.4,2.5,2.5,2.6,2.9
Vietnam,,19,20,21,22,23,24,25,26,27,28
Yemen,,4.4,4.9,7,7.1,8.8,11,13,15,17,17
Zambia,,32,33,30,24,26,32,31,31,31,28
Zimbabwe,,13,15,14,12,15,24,25,25,22,19
MEDIAN:,,,,,,,,,,,